year,mileage,tax(£),mpg,engineSize
2017.0,29880.0,145.0,57.7,1.2
2017.0,45579.0,30.0,61.7,1.7
2013.0,30252.0,30.0,57.6,1.2
2017.0,26596.0,145.0,44.8,1.6
2016.0,28022.0,0.0,78.4,1.6
2019.0,4541.0,135.0,78.5,1.6
2018.0,4029.0,135.0,78.5,1.6
2018.0,37439.0,135.0,78.5,1.6
2016.0,23500.0,20.0,58.9,1.0
2019.0,7811.0,145.0,46.3,1.2
2019.0,8293.0,145.0,34.9,1.6
2018.0,33610.0,145.0,31.7,2.5
2016.0,47014.0,0.0,78.4,1.6
2019.0,15.0,145.0,34.9,1.6
2016.0,35794.0,205.0,46.3,2.0
2017.0,25000.0,145.0,60.1,1.0
2016.0,28355.0,125.0,50.4,1.4
2016.0,50820.0,20.0,67.3,1.7
2019.0,357.0,145.0,44.1,1.0
2018.0,16048.0,150.0,57.7,1.2
2015.0,33153.0,145.0,53.3,1.7
2016.0,30164.0,30.0,61.7,1.7
2018.0,5657.0,145.0,46.3,1.2
2017.0,27080.0,125.0,57.6,1.7
2019.0,5034.0,145.0,44.1,1.0
2015.0,54412.0,0.0,78.4,1.6
2016.0,19390.0,20.0,60.1,1.0
2018.0,10173.0,145.0,60.1,1.0
2017.0,21200.0,150.0,58.9,1.2
2017.0,5003.0,125.0,50.4,1.4
2018.0,20455.0,150.0,44.8,1.6
2018.0,9616.0,145.0,52.3,1.0
2019.0,3718.0,145.0,37.7,1.6
2019.0,7925.0,145.0,44.1,1.0
2018.0,10000.0,145.0,54.3,1.0
2017.0,15625.0,150.0,44.8,1.6
2017.0,21354.0,145.0,50.4,1.4
2018.0,9545.0,150.0,39.8,1.6
2017.0,37578.0,150.0,57.6,1.7
2018.0,28526.0,135.0,78.5,1.6
2017.0,10000.0,150.0,57.7,1.2
2017.0,11062.0,0.0,78.5,1.6
2018.0,7963.0,150.0,57.7,1.2
2019.0,3300.0,145.0,46.3,1.2
2016.0,35600.0,30.0,61.7,1.7
2011.0,62000.0,205.0,43.5,1.6
2015.0,21701.0,150.0,48.7,1.4
2018.0,9424.0,150.0,34.9,1.6
2018.0,33943.0,145.0,28.0,2.5
2017.0,30891.0,150.0,60.1,1.0
2016.0,38000.0,30.0,61.7,1.7
2015.0,50122.0,150.0,47.1,1.4
2017.0,47170.0,125.0,57.6,1.7
2018.0,33389.0,145.0,31.7,2.5
2015.0,41900.0,260.0,41.5,2.2
2018.0,9046.0,145.0,44.8,1.6
2020.0,1.0,145.0,44.1,1.0
2020.0,3500.0,145.0,47.9,1.0
2015.0,57000.0,30.0,61.7,1.7
2014.0,37000.0,160.0,51.4,1.6
2019.0,3815.0,145.0,60.1,1.0
2017.0,33164.0,125.0,57.6,1.7
2018.0,12364.0,145.0,74.3,1.6
2019.0,5215.0,150.0,46.3,1.2
2019.0,21457.0,145.0,31.7,2.5
2016.0,12810.0,125.0,57.6,1.7
2017.0,11581.0,145.0,56.5,1.0
2019.0,1437.0,145.0,34.0,2.0
2018.0,28998.0,145.0,55.4,1.2
2019.0,12884.0,150.0,46.3,1.2
2017.0,13751.0,145.0,61.7,1.7
2019.0,8178.0,150.0,38.2,1.6
2019.0,2899.0,145.0,34.9,1.6
2018.0,15804.0,145.0,57.7,1.0
2019.0,16003.0,145.0,34.9,1.6
2018.0,5713.0,145.0,60.1,1.0
2019.0,11816.0,135.0,78.5,1.6
2019.0,1442.0,145.0,44.1,1.0
2016.0,31480.0,30.0,61.7,1.7
2019.0,2544.0,135.0,62.8,1.6
2019.0,9567.0,145.0,44.1,1.0
2019.0,5386.0,145.0,44.1,1.0
2015.0,46000.0,145.0,53.3,1.7
2020.0,3213.0,145.0,56.5,1.0
2016.0,24146.0,0.0,78.4,1.6
2014.0,19150.0,30.0,57.6,1.2
2018.0,12531.0,145.0,43.5,2.0
