year,mileage,tax(£),mpg,engineSize,price
2017.0,25103.0,145.0,58.9,1.2,7989.0
2019.0,4952.0,145.0,42.2,1.4,17590.0
2015.0,12000.0,200.0,43.6,1.6,8495.0
2017.0,13359.0,145.0,52.3,1.4,11495.0
2019.0,13060.0,145.0,34.9,1.6,15995.0
2019.0,17868.0,145.0,44.1,1.0,14985.0
2019.0,9300.0,145.0,36.2,1.6,22600.0
2017.0,20677.0,145.0,58.9,1.0,9990.0
2017.0,8613.0,145.0,65.7,1.7,13751.0
2019.0,1583.0,145.0,46.3,1.2,11891.0
2016.0,40191.0,30.0,61.7,1.7,10998.0
2018.0,7369.0,145.0,52.3,1.0,12910.0
2015.0,24128.0,260.0,41.5,2.0,12500.0
2013.0,26550.0,145.0,47.1,1.4,6998.0
2019.0,14877.0,150.0,34.9,1.6,15498.0
2016.0,33298.0,20.0,72.4,1.6,9998.0
2017.0,16030.0,145.0,56.5,1.0,10995.0
2017.0,13800.0,145.0,57.6,1.7,15495.0
2019.0,10.0,145.0,37.7,1.6,22995.0
2017.0,16069.0,145.0,61.4,1.0,9991.0
2018.0,35915.0,145.0,42.8,2.2,18000.0
2017.0,24705.0,145.0,60.1,1.0,6999.0
2016.0,40500.0,235.0,43.5,2.0,17995.0
2000.0,47000.0,150.0,38.7,1.3,1295.0
2020.0,1000.0,135.0,52.3,1.6,23000.0
2019.0,2180.0,145.0,42.2,1.4,16980.0
2016.0,38705.0,0.0,78.4,1.6,7998.0
2016.0,43845.0,20.0,60.1,1.0,5495.0
2020.0,984.0,145.0,44.1,1.0,19290.0
2016.0,31604.0,165.0,44.8,1.6,10498.0
2019.0,17401.0,145.0,57.6,1.2,9770.0
2010.0,41000.0,30.0,57.6,1.2,3695.0
2017.0,9966.0,145.0,57.7,1.2,8690.0
2016.0,28323.0,30.0,61.7,1.7,11995.0
2018.0,12045.0,135.0,256.8,1.6,18999.0
2017.0,21615.0,235.0,42.8,2.2,17998.0
2017.0,3283.0,160.0,45.6,1.4,10700.0
2016.0,13643.0,20.0,62.8,1.0,8298.0
2018.0,8623.0,145.0,60.1,1.0,7560.0
2018.0,10309.0,150.0,35.3,1.6,16990.0
2019.0,14.0,145.0,46.3,1.2,12495.0
2019.0,10065.0,145.0,60.1,1.6,13000.0
2019.0,9290.0,145.0,57.6,1.2,8970.0
2017.0,20917.0,30.0,61.7,1.7,13798.0
2015.0,18394.0,30.0,57.6,1.2,6495.0
2019.0,14121.0,145.0,58.9,1.6,12998.0
2016.0,18210.0,125.0,58.9,2.0,17298.0
2018.0,13799.0,145.0,57.7,1.2,7590.0
2017.0,8256.0,125.0,58.9,2.0,17899.0
2019.0,25.0,145.0,44.1,1.0,17950.0
2016.0,53000.0,330.0,33.6,2.5,11995.0
2018.0,6394.0,145.0,49.6,1.0,12500.0
2016.0,23916.0,20.0,62.8,1.0,8250.0
2018.0,21802.0,150.0,52.3,1.4,11671.0
2018.0,10612.0,150.0,50.4,1.4,10350.0
2016.0,28793.0,30.0,61.7,1.7,12789.0
2016.0,19999.0,125.0,50.4,1.4,8399.0
2018.0,10124.0,145.0,34.9,1.6,15495.0
2016.0,41374.0,30.0,61.7,1.7,12495.0
2017.0,27918.0,145.0,43.5,1.6,9628.0
2018.0,6308.0,135.0,78.5,1.6,16998.0
2017.0,35832.0,145.0,55.4,1.2,7291.0
